table,col,model,panel,row,coef,se,p,N
oaxaca,2,Oaxaca: WM price,unexplained_employment,Self-employed,-.0069745325544688,.010363536,.5009551,
oaxaca,1,Oaxaca: pooled price,unexplained_financial,Financial difficulties,-.0083319697033122,.038087115,.82683635,
oaxaca,2,Oaxaca: WM price,unexplained_financial,Financial difficulties,-.0088923931453561,.039674792,.82265455,
oaxaca,1,Oaxaca: pooled price,unexplained_financial,Financial status improved,.0440296230521941,.027830523,.11363533,
oaxaca,2,Oaxaca: WM price,unexplained_financial,Financial status improved,.0446316668362178,.02826093,.11427392,
oaxaca,1,Oaxaca: pooled price,unexplained_financial,Financial status worsened,.0237054786679995,.022808159,.2986457,
oaxaca,2,Oaxaca: WM price,unexplained_financial,Financial status worsened,.0241338386269269,.023355614,.30145386,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Arthritis,-.0078061370095487,.019432843,.68790615,
oaxaca,2,Oaxaca: WM price,unexplained_health,Arthritis,-.0074496243378067,.018536357,.68776309,
oaxaca,1,Oaxaca: pooled price,unexplained_health,COVID symptoms,.0058150484157644,.017921478,.74557942,
oaxaca,2,Oaxaca: WM price,unexplained_health,COVID symptoms,.0060661666155933,.018841555,.7474854,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Cardiovascular condition,.0132850782127292,.014188892,.34911805,
oaxaca,2,Oaxaca: WM price,unexplained_health,Cardiovascular condition,.0123773274933433,.01324692,.35012075,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Endocrine condition,-.0233479384184634,.019103091,.2216292,
oaxaca,2,Oaxaca: WM price,unexplained_health,Endocrine condition,-.023705195929571,.019443709,.22277948,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Other chronic condition,-.0106709998011508,.024512628,.66332537,
oaxaca,2,Oaxaca: WM price,unexplained_health,Other chronic condition,-.0102250108738194,.02390139,.66879684,
oaxaca,1,Oaxaca: pooled price,unexplained_health,Respiratory condition,.0040693241107645,.01791787,.82033837,
oaxaca,2,Oaxaca: WM price,unexplained_health,Respiratory condition,.0038816453527749,.017503323,.82449591,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Dependent children,.017563101230478,.066964477,.79310954,
oaxaca,2,Oaxaca: WM price,unexplained_household,Dependent children,.0179295230134995,.069513239,.79646122,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Dependent children squared,-.0139385566100045,.037613612,.71095622,
oaxaca,2,Oaxaca: WM price,unexplained_household,Dependent children squared,-.0144060988465964,.03933787,.71420503,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy,-.0123450371600927,.0094212042,.19007882,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy,-.0123280143718813,.0094595011,.19249234,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy x children,.0101186423792524,.018283661,.57997215,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy x children,.0101143907763117,.018426465,.58307022,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy x children squared,-.0015409312464995,.012865759,.90466541,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy x children squared,-.0014921229996692,.0130823,.90919292,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Bedroom-per-person ratio,-.2964941438023173,.22757398,.19262689,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Bedroom-per-person ratio,-.2880270183403683,.22230059,.19509104,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Bedroom-per-person ratio squared,.0811938080138638,.075754747,.28381062,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Bedroom-per-person ratio squared,.0761841824878696,.072696753,.29465139,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Number of rooms,-.2978958545695665,.24157614,.21752562,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Number of rooms,-.2964728320438659,.24006486,.21684179,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Number of rooms squared,.1242057344246565,.093665324,.18482019,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Number of rooms squared,.1233067862535733,.092966482,.18472132,
