table,col,model,panel,row,coef,se,p,N
oaxaca,2,Oaxaca: WM price,unexplained_household,Dependent children squared,.0423859202273119,.05953794,.47651777,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy,-.0064899874901443,.0066705695,.33058882,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy,-.006151452285277,.0065124515,.34487954,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy x children,-.0009034705230078,.0070200693,.89759642,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy x children,-.0014686398398437,.006681168,.82601303,
oaxaca,1,Oaxaca: pooled price,unexplained_household,Single occupancy x children squared,.0000222388151245,.0064261444,.99723876,
oaxaca,2,Oaxaca: WM price,unexplained_household,Single occupancy x children squared,.0002424645142907,.0063448078,.96951658,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Bedroom-per-person ratio,.0233947838686951,.26992345,.93093228,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Bedroom-per-person ratio,.0266644778643706,.26549196,.9199996,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Bedroom-per-person ratio squared,-.1069161578589597,.079945572,.18110454,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Bedroom-per-person ratio squared,-.1074629036279211,.077212043,.16398618,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Number of rooms,.3670728529685037,.34072801,.28133765,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Number of rooms,.3658223566893352,.34016016,.28217709,
oaxaca,1,Oaxaca: pooled price,unexplained_housing,Number of rooms squared,-.1106035107291394,.14086023,.43233606,
oaxaca,2,Oaxaca: WM price,unexplained_housing,Number of rooms squared,-.1101196138502122,.14057031,.43340549,
